symbol, name, exchange, marketCap, IPOYear, sector, industry, summary
CTB,Cooper Tire & Rubber Company,NYSE,2.3E9,,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/ctb
CPS,Cooper-Standard Holdings Inc.,NYSE,1.27E9,,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cps
CPA,Copa Holdings S.A.,NYSE,2.4E9,2005,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/cpa
CLB,Core Laboratories N.V.,NYSE,4.76E9,1995,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/clb
CLGX,CoreLogic Inc.,NYSE,3.21E9,,Technology,EDP Services,http://www.nasdaq.com/symbol/clgx
CORR,CorEnergy Infrastructure Trust Inc.,NYSE,2.9875E8,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/corr
CORR-A,CorEnergy Infrastructure Trust Inc.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/corr-a
COR,CoreSite Realty Corporation,NYSE,1.59E9,2010,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cor
COR-A,CoreSite Realty Corporation,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/cor-a
GLW,Corning Incorporated,NYSE,2.245E10,,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/glw
BCA,Corpbanca,NYSE,2.99E9,,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bca
GYC,Corporate Asset Backed Corp CABCO,NYSE,,,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gyc
OFC,Corporate Office Properties Trust,NYSE,2.1E9,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ofc
OFC-L,Corporate Office Properties Trust,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/ofc-l
CXW,Corrections Corporation of America,NYSE,3.05E9,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cxw
CZZ,Cosan Limited,NYSE,1.01E9,,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/czz
CMRE,Costamare Inc.,NYSE,9.1954E8,2010,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/cmre
CMRE-B,Costamare Inc.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/cmre-b
CMRE-C,Costamare Inc.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/cmre-c
CMRE-D,Costamare Inc.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/cmre-d
COT,Cott Corporation,NYSE,1.12E9,,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/cot
COTY,Coty Inc.,NYSE,9.42E9,2013,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/coty
CCSC,Country Style Cooking Restaurant Chain Co. Ltd.,NYSE,1.2519E8,2010,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/ccsc
CFC-A,Countrywide Financial Corporation,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/cfc-a
CFC-B,Countrywide Financial Corporation,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/cfc-b
CUZ,Cousins Properties Incorporated,NYSE,2.12E9,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cuz
CVA,Covanta Holding Corporation,NYSE,2.1E9,,Basic Industries,Electric Utilities: Central,http://www.nasdaq.com/symbol/cva
CPF,CPB Inc.,NYSE,7.3032E8,,Finance,Major Banks,http://www.nasdaq.com/symbol/cpf
CPL,CPFL Energia S.A.,NYSE,4.53E9,2004,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cpl
CR,Crane Company,NYSE,2.99E9,,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/cr
CRD.A,Crawford & Company,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/crd.a
CRD.B,Crawford & Company,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/crd.b
